Business name,features
Lake Cisco Rentals Cabins,"32.4370802, -99.0042168, Lodge, 4.7, Texas"
Siena Golf Club,"36.107853999999996, -115.32462299999999, Resort hotel, 4.4, Nevada"
Sea Oats Beach Resort,"27.8238889, -82.8291667, Resort hotel, 4.3, Florida"
Rayburn Country Resort Golf Course,"31.074375099999997, -94.0259552, Resort hotel, 4.3, Texas"
Siena Golf Club,"36.107853999999996, -115.32462299999999, Resort hotel, 4.4, Nevada"
Aqua Motel,"33.7606239, -117.8642654, Motel, 3.7, California"
America's Best Inn Arlington,"32.7651354, -97.0644557, Motel, 2.9, Texas"
Knights Inn Bradenton,"27.479056, -82.562516, Hotel, 3.2, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
HCR Resort,"29.4768354, -98.7420788, Resort hotel, 4.9, Texas"
DEFY Sparks,"39.5318234, -119.72128079999999, Group accommodation, 4.7, Nevada"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Pequena Habana,"25.769652999999998, -80.21012669999999, Lodging, 4.2, Florida"
Executive Inn & Suites Waco,"31.5541722, -97.1224046, Hotel, 2.2, Texas"
Maderia Beach,"27.7925734, -82.7912987, Hotel, 4.8, Florida"
Roundhouse Inn,"39.1729477, -119.7670934, Motel, 2.8, Nevada"
Hicks-Gregg House,"25.918376, -97.515535, Indoor lodging, 4.5, Texas"
Rodeway Inn,"32.309959, -95.34152669999999, Hotel, 4.2, Texas"
The Ritz-Carlton Members Golf Club,"27.41403, -82.3883819, Resort hotel, 4.8, Florida"
Mad Dogs & Englishmen Bike Shop,"36.5547584, -121.92113169999999, Pet friendly accommodation, 4.9, California"
Playa Del Oro Apartments,"33.9595869, -118.42037529999999, Indoor lodging, 4.0, California"
Whitten Inn,"31.037499999999998, -104.8519444, Motel, 3.5, Texas"
CSUB Student Housing East,"35.351124399999996, -119.09803199999999, Lodging, 4.2, California"
Delux Inn,"32.8894322, -96.6824827, Lodging, 3.2, Texas"
Harbor Island Apartments,"36.109714, -115.1578794, Extended stay hotel, 2.4, Nevada"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Hotel, 3.6, Texas"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Hotel, 3.6, Texas"
Black Rock Cottages,"30.761483, -98.45929819999999, Indoor lodging, 4.2, Texas"
Executive Inn & Suites Waco,"31.5541722, -97.1224046, Hotel, 2.2, Texas"
Tejas Camp & Retreat,"30.097156499999997, -96.9306259, Retreat center, 4.6, Texas"
Corporate Inn & Suites,"30.2824192, -95.456932, Motel, 3.6, Texas"
Shine of Ft Lauderdale,"26.2155705, -80.137163, Holiday accommodation service, 5.0, Florida"
Long Point Camp,"42.655497, -76.911808, Lodging, 4.9, New York"
Americas Best Value Inn,"30.520492899999997, -97.6899574, Motel, 3.3, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
"Yreka, CA","41.7281455, -122.63948819999999, Hotel, 4.1, California"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Retreat center, 5.0, Texas"
The Villas at Seven Dwarfs,"28.324064999999997, -81.466306, Resort hotel, 4.5, Florida"
Rayburn Country Resort Golf Course,"31.074375099999997, -94.0259552, Resort hotel, 4.3, Texas"
Trafalgar Village Resort,"28.2261597, -81.484079, Hotel, 4.5, Florida"
Pine Bay Farm Inc,"44.3958683, -75.83324429999999, Indoor lodging, 5.0, New York"
Century Motel,"32.7398357, -97.2756545, Motel, 3.7, Texas"
Super 8 by Wyndham Karnes City,"28.882657, -97.8929086, Hotel, 3.8, Texas"
Vanderbilt House Hotel,"42.2484432, -73.6568506, Hotel, 4.4, New York"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Hotel, 2.9, Nevada"
Pneuma Retreat Center,"41.419678, -122.50393989999999, Retreat center, 4.1, California"
Econo Lodge,"26.1135569, -97.16998269999999, Hotel, 2.8, Texas"
Island party catering,"40.624897, -73.927869, Self-catering accommodation, 4.0, New York"
Vanderbilt House Hotel,"42.2484432, -73.6568506, Hotel, 4.4, New York"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Inn, 3.7, Florida"
Conch On Inn Motel,"24.9857795, -80.5448567, Motel, 4.4, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Starpoint Resort Group,"36.110132199999995, -115.17512839999999, Indoor lodging, 1.4, Nevada"
Inn & Suites,"42.6826168, -74.47401169999999, Hotel, 2.6, New York"
Valley Motel,"32.775951299999996, -97.36727139999999, Hotel, 2.8, Texas"
Tallows,"30.221250299999998, -97.7644931, Motel, 3.3, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Cowboy Inn,"32.8016034, -97.3512387, Indoor lodging, 3.1, Texas"
Niagara Shores Campground and Conference Center,"43.3429024, -78.6801596, Holiday accommodation service, 4.8, New York"
Campus By the Sea,"33.369988, -118.34801999999999, Resort hotel, 4.4, California"
Ace Motor Lodge,"39.5273019, -119.8144088, Hotel, 2.7, Nevada"
The Sullivan Event Center,"41.623656, -74.5912791, Hotel, 4.3, New York"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Motel, 3.7, Florida"
Southern Adirondack Pines Campground & Cabins,"43.192395999999995, -74.521626, Mountain cabin, 4.5, New York"
Siena Golf Club,"36.107853999999996, -115.32462299999999, Resort hotel, 4.4, Nevada"
Delux Inn,"32.8894322, -96.6824827, Lodging, 3.2, Texas"
IdleAir,"31.662022999999998, -106.23814159999999, Motel, 3.2, Texas"
Beachwood Estates Entrance,"32.232791899999995, -96.1394042, Lodging, 3.8, Texas"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Summit Inn Hotel & Suites,"29.891854, -97.915345, Extended stay hotel, 2.1, Texas"
Sea Oats Beach Resort,"27.8238889, -82.8291667, Resort hotel, 4.3, Florida"
Linfield Motel,"32.7152047, -96.7554907, Hotel, 3.3, Texas"
Tony's Motel,"28.6423998, -81.4590734, Motel, 3.0, Florida"
Rio Palace Motor Inn,"33.941136199999995, -118.2779161, Motel, 3.7, California"
Conch On Inn Motel,"24.9857795, -80.5448567, Motel, 4.4, Florida"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Hotel, 3.7, Florida"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Motel, 3.7, Florida"
Aria North Valet,"36.1080536, -115.1773044, Lodging, 4.5, Nevada"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Motel 6 Tyler Northwest,"32.382036899999996, -95.3324844, Motel, 2.9, Texas"
Americas Best Value Inn,"30.693329499999997, -95.55415479999999, Motel, 2.5, Texas"
DEFY Sparks,"39.5318234, -119.72128079999999, Group accommodation, 4.7, Nevada"
Target Lodging Skillman Lodge,"31.823451, -103.6376245, Lodge, 3.6, Texas"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Hotel, 3.6, Texas"
Elks Lodge #2492,"34.265422699999995, -118.6598621, Lodge, 4.5, California"
Relax Motel,"32.7409296, -97.03575509999999, Lodging, 3.0, Texas"
Windhill Ranch,"32.410984, -97.50709529999999, Inn, 4.9, Texas"
SKY CAMP,"32.9401681, -98.4156782, Hotel, 4.6, Texas"
Middleton Hotel,"29.8267724, -95.3121884, Motel, 3.7, Texas"
Morningside Camps & Cottages,"43.78574, -73.9717545, Resort hotel, 4.9, New York"
Versailles Tower,"25.818284199999997, -80.1227526, Hotel, 4.5, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Budget Motel Albany,"42.6955743, -73.8083578, Motel, 2.4, New York"
Drift Inn RV Resort,"39.1214747, -122.86163529999999, Resort hotel, 3.1, California"
Studio 6,"29.4273039, -98.41566859999999, Motel, 3.2, Texas"
Best Western Plus Fort Pierce Inn - CLOSED,"27.411884999999998, -80.39132099999999, Hotel, 3.4, Florida"
Ventura Resort Rentals Orlando,"28.5175025, -81.2924529, Resort hotel, 4.0, Florida"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Motel, 3.7, Florida"
Sunnyside On the Gulf,"30.250173399999998, -85.94728669999999, Resort hotel, 4.5, Florida"
Baymont Inn & Suites Austin South,"30.211661199999998, -97.75266889999999, Lodge, 2.9, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
BREAKERS SUBDIVISIONS BY MIKE WALZ,"29.4970321, -94.5290832, Lodging, 4.7, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Stanley RV Park Midland TX,"32.0428427, -101.98473419999999, Hotel, 4.2, Texas"
Tallows,"30.221250299999998, -97.7644931, Hotel, 3.3, Texas"
Knollwood Lodge,"43.1862, -77.88738, Indoor lodging, 4.1, New York"
Howard Johnson Express Inn Gainesville FL,"29.617275, -82.340969, Inn, 3.6, Florida"
Knights Inn Jacksboro,"33.203849999999996, -98.15225, Lodge, 3.4, Texas"
"Serenity Rose Farm, Cabins & Event Space","30.328925299999998, -95.54484099999999, Group accommodation, 4.8, Texas"
Best Western Posada Ana Inn-Airport - CLOSED,"29.5178627, -98.48297459999999, Hotel, 4.1, Texas"
Best Western Plus Fort Pierce Inn - CLOSED,"27.411884999999998, -80.39132099999999, Hotel, 3.4, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Motel, 3.7, Florida"
Econo Lodge Oceanfront,"29.207998, -80.998274, Motel, 2.3, Florida"
The Oaks,"33.0847702, -116.7342453, Retreat center, 4.9, California"
Wag N Wheel Wash Self Serve Car Wash & Pet Wash,"43.054257, -75.272033, Pet friendly accommodation, 4.2, New York"
Sunset Inn,"33.1105458, -117.07796019999999, Motel, 3.9, California"
Cowboy Inn,"32.8016034, -97.3512387, Inn, 3.1, Texas"
Bald Rocks Shelter,"41.2426459, -74.1322134, Mountain cabin, 4.5, New York"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
VOA Mens Shelter,"39.530033599999996, -119.80890819999999, Lodging, 2.8, Nevada"
Golden Inn Motel,"32.6639414, -96.578049, Hotel, 2.8, Texas"
Harbor Inn Bayfront,"27.795128799999997, -97.3919966, Hotel, 2.6, Texas"
Luigi's Deli & Italian Specialties,"41.7426542, -73.9927822, Self-catering accommodation, 4.7, New York"
Econo Lodge Monterey Fairgrounds,"36.5955624, -121.86484979999999, Motel, 2.6, California"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
Sandbar Rooftop,"40.7455564, -73.9937483, Hotel, 4.0, New York"
Wilderness Inn II Restaurant,"44.3784626, -73.8339574, Inn, 4.3, New York"
Hacienda Cerro Azul,"26.253520899999998, -98.3511352, Hotel, 4.2, Texas"
Knights Inn San Antonio/Near Seaworld,"29.4096546, -98.65098499999999, Lodge, 2.7, Texas"
Langetree Retreat & Eco Center,"30.0735015, -94.6517181, Resort hotel, 4.6, Texas"
Hospital,"40.745104, -73.8857785, Lodging, 4.2, New York"
Peradise Inn motel,"29.368588799999998, -98.4807852, Hotel, 3.9, Texas"
"Holland House, Galveston, Texas","29.2702802, -94.8278278, Lodging, 4.1, Texas"
Kusak Lodge,"43.2394062, -77.578565, Lodge, 4.7, New York"
Building 20355,"31.853597699999998, -106.3369797, Hotel, 3.3, Texas"
Ecoblu Spa & Salon,"31.052735799999997, -97.654382, Resort hotel, 4.5, Texas"
The Village at Gruene Penthouse,"29.7361927, -98.1044082, Indoor lodging, 4.6, Texas"
Best Western Posada Ana Inn-Airport - CLOSED,"29.5178627, -98.48297459999999, Hotel, 4.1, Texas"
"Mount Olive Shores North, Polk City","28.1783243, -81.83879639999999, Lodging, 4.2, Florida"
Horse Shoe Motel,"39.5315278, -119.8116611, Motel, 2.7, Nevada"
Scottish Inns & Suites,"29.784008099999998, -95.6496154, Motel, 3.6, Texas"
Pequena Habana,"25.769652999999998, -80.21012669999999, Lodging, 4.2, Florida"
Studio 6,"29.4273039, -98.41566859999999, Hotel, 3.2, Texas"
The Sullivan Event Center,"41.623656, -74.5912791, Hotel, 4.3, New York"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
"Serenity Rose Farm, Cabins & Event Space","30.328925299999998, -95.54484099999999, Group accommodation, 4.8, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Travelodge Lake City,"30.1801228, -82.6931506, Lodge, 2.6, Florida"
Villa Motel,"29.975277799999997, -93.9891667, Motel, 2.5, Texas"
Tampa Lakes Health And Rehabilitation Center,"28.099000699999998, -82.4544373, Health resort, 4.2, Florida"
North Pembroke Hotel,"43.0213529, -78.3363828, Hotel, 4.9, New York"
Econo Lodge Monterey Fairgrounds,"36.5955624, -121.86484979999999, Motel, 2.6, California"
Splash Owner's Association,"30.2337413, -85.91082399999999, Resort hotel, 4.2, Florida"
Harbor Island Apartments,"36.109714, -115.1578794, Hotel, 2.4, Nevada"
The Ritz-Carlton Members Golf Club,"27.41403, -82.3883819, Resort hotel, 4.8, Florida"
Christian Retreat,"27.5195083, -82.40289299999999, Hotel, 4.4, Florida"
Fairbridge Inn & Suites,"33.0174164, -96.79793339999999, Hotel, 3.3, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Lodge, 3.5, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Jax Kitchen - Where caterers come to cook.,"30.284357, -81.644308, Self-catering accommodation, 4.8, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
ZaSpa,"29.7243049, -95.39027569999999, Hotel, 3.5, Texas"
Lake Kathryn Motel - CLOSED,"28.685243399999997, -81.3318804, Motel, 2.8, Florida"
Lake June Vacation Resort,"27.307603999999998, -81.370385, Resort hotel, 4.5, Florida"
Jackie Robinson Training Complex,"27.6430103, -80.4282588, Hotel, 4.4, Florida"
America's Best Inn Arlington,"32.7651354, -97.0644557, Hotel, 2.9, Texas"
Beach West Inn,"33.7384159, -117.98967599999999, Inn, 4.3, California"
Silver Saddle Resort,"35.216055, -117.757982, Resort hotel, 4.5, California"
Party Line Tent Rentals,"41.0557496, -73.81962109999999, Self-catering accommodation, 3.6, New York"
Trafalgar Village Resort,"28.2261597, -81.484079, Hotel, 4.5, Florida"
Kain Palms Apartments,"28.064238399999997, -82.44098749999999, Lodging, 3.4, Florida"
Palm Towers,"25.8611288, -80.21326739999999, Lodging, 3.8, Florida"
Wag N Wheel Wash Self Serve Car Wash & Pet Wash,"43.054257, -75.272033, Pet friendly accommodation, 4.2, New York"
Fountainlodge.motel,"28.7779018, -81.2761652, Motel, 3.2, Florida"
Siegel Suites Twain,"36.1208532, -115.1529343, Extended stay hotel, 2.8, Nevada"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Hotel, 2.9, Nevada"
A Laughing Horse Lodge,"27.826071199999998, -97.0632474, Lodge, 4.5, Texas"
Cocoa Beach Towers,"28.3700065, -80.6027483, Resort hotel, 4.6, Florida"
Alamo Inn & Suites,"29.493514599999997, -98.40042679999999, Hotel, 4.0, Texas"
Palm Motel,"34.5826762, -118.11907169999999, Motel, 3.1, California"
Fairy Tails Pet Grooming,"30.7900377, -85.67987079999999, Pet friendly accommodation, 4.8, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Wedgewood Heights Apartments,"32.6524606, -97.3757014, Lodging, 2.7, Texas"
Byblos Niagara Resort and Spa,"43.021336399999996, -78.8963582, Hotel, 3.8, New York"
Americas Best Value Inn Reno,"39.536043899999996, -119.8051304, Hotel, 2.8, Nevada"
Americas Best Value Inn,"30.520492899999997, -97.6899574, Hotel, 3.3, Texas"
Bella Toscana Med Spa,"28.8180083, -81.71372559999999, Resort hotel, 4.8, Florida"
Resort Rentals / Resort Realty,"27.7466314, -82.7534337, Indoor lodging, 4.6, Florida"
Linfield Motel,"32.7152047, -96.7554907, Hotel, 3.3, Texas"
Fountainlodge.motel,"28.7779018, -81.2761652, Hotel, 3.2, Florida"
Maple Ski Ridge,"42.8177282, -74.03164819999999, Ski resort, 4.5, New York"
New Ebony Hotel,"40.800419399999996, -73.95405099999999, Hotel, 3.3, New York"
Strata Restaurant and Bar,"29.995185, -95.57132299999999, Self-catering accommodation, 3.8, Texas"
Fountainlodge.motel,"28.7779018, -81.2761652, Motel, 3.2, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Twin Oaks Village,"41.734914499999995, -74.6176084, Lodging, 4.5, New York"
Sueno Motel,"29.388970999999998, -98.4795, Motel, 3.5, Texas"
royal oak inn,"33.975238499999996, -118.29128759999999, Hotel, 3.6, California"
Depauville Hotel,"44.1394568, -76.0679218, Lodging, 4.6, New York"
Frontier Senior Center,"40.4522792, -122.30133339999999, Retreat center, 4.7, California"
Knollwood Lodge,"43.1862, -77.88738, Indoor lodging, 4.1, New York"
Grandview Motel,"27.4712875, -80.3349315, Motel, 3.4, Florida"
Caribe Motel,"25.477697199999998, -80.4767198, Motel, 2.9, Florida"
Rodeway Inn Near Florida Mall,"28.468061, -81.39614399999999, Hotel, 2.7, Florida"
Amco Hotel and Suites/ Fort Hood,"31.118394799999997, -97.7433471, Hotel, 2.6, Texas"
Splash Owner's Association,"30.2337413, -85.91082399999999, Indoor lodging, 4.2, Florida"
Waldo's Camp,"29.735609, -96.5389938, Camping cabin, 4.7, Texas"
Gastonian Condos,"32.7968124, -96.7728987, Indoor lodging, 3.5, Texas"
Southern Adirondack Pines Campground & Cabins,"43.192395999999995, -74.521626, Mountain cabin, 4.5, New York"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Howard Johnson Express Inn Gainesville FL,"29.617275, -82.340969, Inn, 3.6, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
The Cabins at Matagorda,"28.7033731, -95.9642921, Indoor lodging, 4.5, Texas"
Splash Owner's Association,"30.2337413, -85.91082399999999, Resort hotel, 4.2, Florida"
Ocean Village Club Beachfront,"29.817099799999998, -81.26707739999999, Lodging, 4.6, Florida"
Hotel,"30.731531, -86.35842099999999, Motel, 4.1, Florida"
Cupping & Massage Therapy حجامة Hijama,"29.7386926, -95.5173872, Lodging, 4.9, Texas"
Recharge Bar & Grill,"39.5540812, -119.4900325, Hotel, 3.6, Nevada"
Comfort Motel,"32.7659568, -96.8472767, Motel, 2.8, Texas"
Raymond Motor Inn,"32.7187361, -102.64825359999999, Hotel, 2.3, Texas"
The Castaways On the River,"29.1658458, -81.52429, Hotel, 4.5, Florida"
Staybridge Suites Jacksonville,"30.2704964, -81.5609952, Hotel, 4.6, Florida"
Mac Arthur Inn ( MOTEL ),"40.7817941, -73.0892251, Motel, 2.8, New York"
Grand Eagle Ford Lodge,"28.930455199999997, -98.5256294, Lodge, 3.3, Texas"
Acra Manor Resort,"42.3099546, -74.0538134, Resort hotel, 4.0, New York"
Howard Johnson by Wyndham Willowbrook,"29.9692671, -95.56111779999999, Hotel, 3.9, Texas"
Black Rock Cottages,"30.761483, -98.45929819999999, Indoor lodging, 4.2, Texas"
Siesta del Mar,"28.3801448, -80.6001083, Lodging, 4.0, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Motel 6 Tyler Northwest,"32.382036899999996, -95.3324844, Motel, 2.9, Texas"
Unity Hall,"41.7472181, -74.354024, Self-catering accommodation, 4.1, New York"
Super 8 Laredo,"27.523114999999997, -99.503931, Motel, 3.5, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Uncle Henry's Marina,"26.803270299999998, -82.275409, Resort hotel, 4.2, Florida"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Hotel, 3.7, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Econo Lodge Inn & Suites Six Flags,"32.7612885, -97.0940296, Hotel, 2.5, Texas"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Group accommodation, 5.0, Texas"
Everglades Hostel and Tours- An Urban Oasis,"25.447527899999997, -80.4796578, Retreat center, 4.5, Florida"
Delray South Shore Club,"26.4409788, -80.0619133, Resort hotel, 4.6, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Lakeshore Resort Motel,"27.2671787, -81.35055059999999, Resort hotel, 4.4, Florida"
American Inn & Suites,"31.352374899999997, -96.15153099999999, Motel, 3.7, Texas"
Century Motel,"32.7398357, -97.2756545, Motel, 3.7, Texas"
St Bernard's Park,"43.209758699999995, -77.6292266, Lodging, 4.0, New York"
Above and Beyond River Resort,"30.4837128, -99.76039639999999, Resort hotel, 4.4, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Sunstone Inn,"33.0115242, -96.79798339999999, Hotel, 3.0, Texas"
Econo Lodge Monterey Fairgrounds,"36.5955624, -121.86484979999999, Motel, 2.6, California"
Recharge Bar & Grill,"39.5540812, -119.4900325, Hotel, 3.6, Nevada"
Dallas Endermologie,"32.7925311, -96.77502989999999, Resort hotel, 4.1, Texas"
YWAM Mendocino Coast at The Lord's Land,"39.1899261, -123.7121734, Retreat center, 4.9, California"
Marco Resort & Club,"25.973250999999998, -81.7283717, Resort hotel, 4.4, Florida"
Bandera Lodge,"29.7299893, -99.06358829999999, Lodging, 3.5, Texas"
Cottages Christian Retreat,"30.256044099999997, -85.9606919, Retreat center, 4.7, Florida"
Kays Tour and Cruise,"30.1820572, -82.6191837, Group accommodation, 4.8, Florida"
Cazadores Restaurant & Motel,"29.4601713, -98.3153126, Hotel, 3.9, Texas"
Brazos House Retreat,"32.3041, -97.7214508, Lodging, 5.0, Texas"
Cedarwood Travel Lodge,"42.901392799999996, -77.7082501, Motel, 4.5, New York"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
"Motel 6 Queensbury, NY","43.330714, -73.68006319999999, Motel, 3.0, New York"
Rodeway Inn,"26.187549999999998, -80.15376669999999, Hotel, 2.2, Florida"
Villa da Costa,"27.813919, -82.74369039999999, Motel, 3.1, Florida"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Motel, 2.9, Nevada"
Painted Pony Tea Room & Cafe ~ Musical Murder Mystery Dinner Theater,"32.759972399999995, -97.7976553, Self-catering accommodation, 4.8, Texas"
Kings Terrace,"25.8885597, -80.2427251, Lodging, 3.2, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Scottish Inns,"27.742319, -98.0844982, Indoor lodging, 3.4, Texas"
Legion RV Park,"31.3054869, -95.450643, Lodging, 4.2, Texas"
Rodeway Inn,"26.187549999999998, -80.15376669999999, Hotel, 2.2, Florida"
Marco Resort & Club,"25.973250999999998, -81.7283717, Hotel, 4.4, Florida"
The Views,"32.6791441, -117.17775909999999, Resort hotel, 3.5, California"
Rainbow Inn Motel,"25.8471251, -80.3128626, Motel, 3.3, Florida"
Cedarkirk Cedar Lodge,"27.8730062, -82.1792337, Lodge, 4.8, Florida"
Creekside Resort,"43.1297451, -77.2759301, Hotel, 4.5, New York"
Marco Resort & Club,"25.973250999999998, -81.7283717, Resort hotel, 4.4, Florida"
Comfort Inn & Suites Airport - Wolf Road,"42.710347, -73.821376, Hotel, 4.0, New York"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Century Motel,"32.7398357, -97.2756545, Motel, 3.7, Texas"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Extended stay hotel, 4.6, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Travelodge Lake City,"30.1801228, -82.6931506, Hotel, 2.6, Florida"
Monte Carlo Motel,"39.5313849, -119.81455109999999, Motel, 1.7000000000000002, Nevada"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Yoga retreat center, 5.0, Texas"
Building 20355,"31.853597699999998, -106.3369797, Hotel, 3.3, Texas"
Masonic Lodge 115,"26.916821, -82.032139, Resort hotel, 4.5, Florida"
Conch On Inn Motel,"24.9857795, -80.5448567, Hotel, 4.4, Florida"
The Castaways On the River,"29.1658458, -81.52429, Lodge, 4.5, Florida"
Sunset Beach Cottages of Treasure Island,"27.755107199999998, -82.76391939999999, Indoor lodging, 5.0, Florida"
Chic Apartments at Miami Beach,"25.8040769, -80.1260671, Hotel, 4.3, Florida"
Angelina Lakeside Inn,"28.6634727, -81.8511359, Inn, 3.5, Florida"
La Central,"40.817246999999995, -73.91403, Lodging, 4.4, New York"
Motel 6 Beeville,"28.406637999999997, -97.728809, Motel, 3.9, Texas"
Empire Executive Suites,"34.071617599999996, -117.5783039, Indoor lodging, 4.5, California"
The Suites Boulder Highway,"36.116724999999995, -115.0679423, Extended stay hotel, 3.6, Nevada"
Daddy Joes Lodging in Auberry,"37.0744355, -119.48600859999999, Motel, 4.6, California"
ECONO INN,"27.9428104, -82.7310198, Hotel, 2.9, Florida"
Hidden Oaks Retreat Center,"34.1346134, -117.5890096, Retreat center, 4.3, California"
Rainbow Inn Motel,"25.8471251, -80.3128626, Motel, 3.3, Florida"
Days Inn by Wyndham Pearsall,"28.890697399999997, -99.11810679999999, Hotel, 3.7, Texas"
Best Western Posada Ana Inn-Airport - CLOSED,"29.5178627, -98.48297459999999, Hotel, 4.1, Texas"
Apopka Golf & Tennis at Errol Estate,"28.703944, -81.53435499999999, Resort hotel, 3.7, Florida"
Imperial Palace,"36.1180103, -115.17263419999999, Hotel, 3.3, Nevada"
Heart Of Texas Ranch,"30.558805800000002, -98.2823702, Yoga retreat center, 4.9, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Temenos Place II,"29.744432399999997, -95.35934929999999, Lodging, 4.3, Texas"
Lake Las Vegas,"36.0872257, -114.9312035, Resort hotel, 4.7, Nevada"
"Loyal Order of Moose Haltom City, TX","32.7864985, -97.27873849999999, Lodge, 4.5, Texas"
Knights Inn Fresno,"36.7917475, -119.7925882, Hotel, 2.2, California"
Masonic Lodge 115,"26.916821, -82.032139, Resort hotel, 4.5, Florida"
Take It Easy RV Resort,"30.056449399999998, -99.1597408, Resort hotel, 4.2, Texas"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Love hotel, 4.6, Texas"
Padre Escapes Vacation Rentals,"27.607846, -97.22258, Indoor lodging, 4.3, Texas"
